Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	class	class_prob	det_prob	individual	event	input_file	Site name	Recover Folder	SD Card	confidency
1	Waveform 1	1	38.358500000	38.367100000	39218.000	51738.000	Pipistrellus nathusii	0.539	0.614	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
1	Spectrogram 1	1	38.358500000	38.367100000	39218.000	51738.000	Pipistrellus nathusii	0.539	0.614	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
2	Waveform 1	1	38.570500000	38.580800000	38359.000	52237.000	Pipistrellus nathusii	0.604	0.652	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
2	Spectrogram 1	1	38.570500000	38.580800000	38359.000	52237.000	Pipistrellus nathusii	0.604	0.652	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
3	Waveform 1	1	38.667500000	38.681300000	24609.000	28207.000	Nyctalus leisleri	0.46	0.595	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
3	Spectrogram 1	1	38.667500000	38.681300000	24609.000	28207.000	Nyctalus leisleri	0.46	0.595	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
4	Waveform 1	1	38.673500000	38.682100000	39218.000	55232.000	Pipistrellus nathusii	0.662	0.725	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
4	Spectrogram 1	1	38.673500000	38.682100000	39218.000	55232.000	Pipistrellus nathusii	0.662	0.725	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
5	Waveform 1	1	38.762500000	38.770300000	39218.000	51833.000	Pipistrellus nathusii	0.633	0.701	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
5	Spectrogram 1	1	38.762500000	38.770300000	39218.000	51833.000	Pipistrellus nathusii	0.633	0.701	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
6	Waveform 1	1	38.868500000	38.877400000	38359.000	48924.000	Pipistrellus nathusii	0.616	0.67	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
6	Spectrogram 1	1	38.868500000	38.877400000	38359.000	48924.000	Pipistrellus nathusii	0.616	0.67	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
7	Waveform 1	1	38.966500000	38.975300000	40078.000	52521.000	Pipistrellus nathusii	0.579	0.669	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
7	Spectrogram 1	1	38.966500000	38.975300000	40078.000	52521.000	Pipistrellus nathusii	0.579	0.669	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
8	Waveform 1	1	39.061500000	39.070300000	39218.000	52060.000	Pipistrellus nathusii	0.58	0.675	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
8	Spectrogram 1	1	39.061500000	39.070300000	39218.000	52060.000	Pipistrellus nathusii	0.58	0.675	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
9	Waveform 1	1	39.160500000	39.169100000	37500.000	47514.000	Pipistrellus nathusii	0.568	0.631	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
9	Spectrogram 1	1	39.160500000	39.169100000	37500.000	47514.000	Pipistrellus nathusii	0.568	0.631	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005	
