Unnamed: 0	start_time	end_time	low_freq	high_freq	class	class_prob	det_prob	individual	event	input_file	Site name	Recover Folder	SD Card
0	38.3585	38.3671	39218.0	51738.0	Pipistrellus nathusii	0.539	0.614	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005
0	38.3585	38.3671	39218.0	51738.0	Pipistrellus nathusii	0.539	0.614	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005
1	38.5705	38.5808	38359.0	52237.0	Pipistrellus nathusii	0.604	0.652	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005
1	38.5705	38.5808	38359.0	52237.0	Pipistrellus nathusii	0.604	0.652	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005
2	38.6675	38.6813	24609.0	28207.0	Nyctalus leisleri	0.46	0.595	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005
2	38.6675	38.6813	24609.0	28207.0	Nyctalus leisleri	0.46	0.595	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005
3	38.6735	38.6821	39218.0	55232.0	Pipistrellus nathusii	0.662	0.725	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005
3	38.6735	38.6821	39218.0	55232.0	Pipistrellus nathusii	0.662	0.725	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005
4	38.7625	38.7703	39218.0	51833.0	Pipistrellus nathusii	0.633	0.701	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005
4	38.7625	38.7703	39218.0	51833.0	Pipistrellus nathusii	0.633	0.701	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005
5	38.8685	38.8774	38359.0	48924.0	Pipistrellus nathusii	0.616	0.67	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005
5	38.8685	38.8774	38359.0	48924.0	Pipistrellus nathusii	0.616	0.67	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005
6	38.9665	38.9753	40078.0	52521.0	Pipistrellus nathusii	0.579	0.669	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005
6	38.9665	38.9753	40078.0	52521.0	Pipistrellus nathusii	0.579	0.669	-1	Echolocation	/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_103000.WAV	Central Pond	recover-20220801	UBNA_005
